Notes,County,County Code,Year,Year Code,Cause of death,Cause of death Code,Deaths,Population,Crude Rate,Age Adjusted Rate
,"Baldwin County, AL",1003,2007,2007,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,15,172404,8.7 (Unreliable),9.3 (Unreliable)
,"Baldwin County, AL",1003,2008,2008,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,13,175827,7.4 (Unreliable),7.1 (Unreliable)
,"Baldwin County, AL",1003,2009,2009,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,20,179406,11.1,11.7
,"Baldwin County, AL",1003,2010,2010,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,18,182265,9.9 (Unreliable),10.7 (Unreliable)
,"Blount County, AL",1009,2008,2008,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,14,57055,24.5 (Unreliable),24.0 (Unreliable)
,"Calhoun County, AL",1015,2007,2007,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,10,116211,8.6 (Unreliable),8.9 (Unreliable)
,"Calhoun County, AL",1015,2008,2008,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,15,117274,12.8 (Unreliable),13.7 (Unreliable)
,"Calhoun County, AL",1015,2009,2009,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,11,118363,9.3 (Unreliable),10.1 (Unreliable)
,"Calhoun County, AL",1015,2010,2010,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,18,118572,15.2 (Unreliable),17.3 (Unreliable)
,"Chilton County, AL",1021,2006,2006,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,12,42318,28.4 (Unreliable),28.8 (Unreliable)
,"Chilton County, AL",1021,2010,2010,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,10,43643,22.9 (Unreliable),23.3 (Unreliable)
,"Etowah County, AL",1055,2008,2008,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,10,104206,9.6 (Unreliable),10.5 (Unreliable)
,"Etowah County, AL",1055,2009,2009,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,13,104239,12.5 (Unreliable),13.4 (Unreliable)
,"Jefferson County, AL",1073,2006,2006,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,17,655893,2.6 (Unreliable),2.6 (Unreliable)
