,"Baldwin County, AL",1003,2014,2014,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,14,199745,7.0 (Unreliable),7.7 (Unreliable)
,"Baldwin County, AL",1003,2014,2014,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,17,199745,8.5 (Unreliable),8.6 (Unreliable)
,"Calhoun County, AL",1015,2014,2014,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,19,115837,16.4 (Unreliable),16.4 (Unreliable)
,"Cullman County, AL",1043,2014,2014,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,23,81167,28.3,27.9
,"Etowah County, AL",1055,2014,2014,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,13,103371,12.6 (Unreliable),13.3 (Unreliable)
,"Houston County, AL",1069,2014,2014,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,11,104177,10.6 (Unreliable),11.9 (Unreliable)
,"Jefferson County, AL",1073,2014,2014,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,99,659733,15,15
,"Jefferson County, AL",1073,2014,2014,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,66,659733,10,10
,"Madison County, AL",1089,2014,2014,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,18,350121,5.1 (Unreliable),5.6 (Unreliable)
,"Marshall County, AL",1095,2014,2014,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,18,94320,19.1 (Unreliable),21.8 (Unreliable)
,"Mobile County, AL",1097,2014,2014,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,18,414342,4.3 (Unreliable),4.1 (Unreliable)
,"Mobile County, AL",1097,2014,2014,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,36,414342,8.7,9
,"Montgomery County, AL",1101,2014,2014,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,16,227193,7.0 (Unreliable),7.1 (Unreliable)
,"St. Clair County, AL",1115,2014,2014,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,17,86482,19.7 (Unreliable),18.4 (Unreliable)
,"Shelby County, AL",1117,2014,2014,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,13,205990,6.3 (Unreliable),6.5 (Unreliable)
,"Shelby County, AL",1117,2014,2014,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,23,205990,11.2,10.6
,"Tuscaloosa County, AL",1125,2014,2014,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,20,202671,9.9,9.9
,"Walker County, AL",1127,2014,2014,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,13,65564,19.8 (Unreliable),20.6 (Unreliable)
,"Anchorage Borough, AK",2020,2014,2014,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,26,300429,8.7,8.4
,"Anchorage Borough, AK",2020,2014,2014,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,15,300429,5.0 (Unreliable),5.0 (Unreliable)
,"Matanuska-Susitna Borough, AK",2170,2014,2014,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,11,98196,11.2 (Unreliable),10.8 (Unreliable)
,"Maricopa County, AZ",4013,2014,2014,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X41,88,4083931,2.2,2.2
,"Maricopa County, AZ",4013,2014,2014,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,149,4083931,3.6,3.6
,"Maricopa County, AZ",4013,2014,2014,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,299,4083931,7.3,7.4
,"Maricopa County, AZ",4013,2014,2014,"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X62,10,4083931,0.2 (Unreliable),0.2 (Unreliable)
,"Maricopa County, AZ",4013,2014,2014,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X64,72,4083931,1.8,1.7
,"Maricopa County, AZ",4013,2014,2014,"Poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, undetermined intent",Y11,11,4083931,0.3 (Unreliable),0.2 (Unreliable)
,"Maricopa County, AZ",4013,2014,2014,"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent",Y12,10,4083931,0.2 (Unreliable),0.2 (Unreliable)
,"Maricopa County, AZ",4013,2014,2014,"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent",Y14,44,4083931,1.1,1.1
,"Mohave County, AZ",4015,2014,2014,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,17,202985,8.4 (Unreliable),7.4 (Unreliable)
,"Mohave County, AZ",4015,2014,2014,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,23,202985,11.3,11.8
,"Navajo County, AZ",4017,2014,2014,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,11,108178,10.2 (Unreliable),11.5 (Unreliable)
,"Pima County, AZ",4019,2014,2014,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X41,18,1003157,1.8 (Unreliable),2.1 (Unreliable)
,"Pima County, AZ",4019,2014,2014,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,104,1003157,10.4,11
,"Pima County, AZ",4019,2014,2014,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,56,1003157,5.6,5.8
,"Pima County, AZ",4019,2014,2014,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X64,18,1003157,1.8 (Unreliable),1.7 (Unreliable)
,"Pinal County, AZ",4021,2014,2014,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,11,396024,2.8 (Unreliable),2.9 (Unreliable)
