County,State,FIPS County Code,2008 Prescribing Rate
"Aleutians East, AK",AK,2013,–
"Aleutians West, AK",AK,2016,–
"Anchorage, AK",AK,2020,75.6
"Bethel, AK",AK,2050,–
"Bristol Bay, AK",AK,2060,–
"Denali, AK",AK,2068,–
"Dillingham, AK",AK,2070,–
"Fairbanks North Star, AK",AK,2090,58.5
"Haines, AK",AK,2100,–
"Hoonah-Angoon, AK",AK,2105,–
"Juneau, AK",AK,2110,99
"Kenai Peninsula, AK",AK,2122,101.4
"Ketchikan Gateway, AK",AK,2130,136.7
"Kodiak Island, AK",AK,2150,82.2
"Lake and Peninsula, AK",AK,2164,–
"Matanuska-Susitna, AK",AK,2170,93.5
"Nome, AK",AK,2180,–
"North Slope, AK",AK,2185,–
"Northwest Arctic, AK",AK,2188,–
"Petersburg, AK",AK,2195,62
"Prince of Wales-Hyder, AK",AK,2198,–
"Sitka, AK",AK,2220,–
"Skagway, AK",AK,2230,–
"Southeast Fairbanks, AK",AK,2240,–
"Valdez-Cordova, AK",AK,2261,62.5
"Wade Hampton, AK",AK,2270,–
"Wrangell, AK",AK,2275,54.5
"Yakutat, AK",AK,2282,–
"Yukon-Koyukuk, AK",AK,2290,–
"Autauga, AL",AL,1001,144.9
"Baldwin, AL",AL,1003,138.3
"Barbour, AL",AL,1005,79.6
"Bibb, AL",AL,1007,119.6
"Blount, AL",AL,1009,58.2
"Bullock, AL",AL,1011,41.1
"Butler, AL",AL,1013,104.5
"Calhoun, AL",AL,1015,174.4
"Chambers, AL",AL,1017,134.9
"Cherokee, AL",AL,1019,146.3
"Chilton, AL",AL,1021,115.2
"Choctaw, AL",AL,1023,106
"Clarke, AL",AL,1025,132.7
"Clay, AL",AL,1027,128
"Cleburne, AL",AL,1029,27.6
"Coffee, AL",AL,1031,117.7
"Colbert, AL",AL,1033,211.5
"Conecuh, AL",AL,1035,168.9
"Coosa, AL",AL,1037,45.4
"Covington, AL",AL,1039,200.3
"Crenshaw, AL",AL,1041,107.9
"Cullman, AL",AL,1043,155.2
"Dale, AL",AL,1045,62.9
"Dallas, AL",AL,1047,92.1
"DeKalb, AL",AL,1049,55.5
"Elmore, AL",AL,1051,103.8
"Escambia, AL",AL,1053,115.9
"Etowah, AL",AL,1055,145.6
"Fayette, AL",AL,1057,67.8
"Franklin, AL",AL,1059,170.9
"Geneva, AL",AL,1061,23.9
"Greene, AL",AL,1063,54.4
"Hale, AL",AL,1065,63.8
"Henry, AL",AL,1067,31.4
"Houston, AL",AL,1069,171.7
"Jackson, AL",AL,1071,106.8
"Jefferson, AL",AL,1073,128.3
"Lamar, AL",AL,1075,53.1
"Lauderdale, AL",AL,1077,144
"Lawrence, AL",AL,1079,63.6
"Lee, AL",AL,1081,72.8
"Limestone, AL",AL,1083,69.8
"Lowndes, AL",AL,1085,8.6
"Macon, AL",AL,1087,53
"Madison, AL",AL,1089,127.5
"Marengo, AL",AL,1091,125
"Marion, AL",AL,1093,230.7
"Marshall, AL",AL,1095,202
"Mobile, AL",AL,1097,145.7
"Monroe, AL",AL,1099,135
"Montgomery, AL",AL,1101,110.3
"Morgan, AL",AL,1103,159
"Perry, AL",AL,1105,–
"Pickens, AL",AL,1107,125.5
"Pike, AL",AL,1109,109.6
"Randolph, AL",AL,1111,59.6
"Russell, AL",AL,1113,150.1
"St. Clair, AL",AL,1115,85.2
"Shelby, AL",AL,1117,116.1
"Sumter, AL",AL,1119,44
"Talladega, AL",AL,1121,129
"Tallapoosa, AL",AL,1123,89.6
"Tuscaloosa, AL",AL,1125,112
"Walker, AL",AL,1127,312.4
